"latitude","longitude","codePostal","nomVille","nomSport","ouvertureCovid"
48.6997283,-3.1663942,22260,"Pontrieux","Escalade","non"
48.6549201,-2.3656524,22240,"Fréhel","Surf",""
48.6710107,-2.9206013,22580,"Plouha","Plongée",""
48.605925,-2.15097,22770,"Lancieux","Multisport",""
48.7798333,-3.048834,22500,"Paimpol","Multisport",""
48.7837923,-3.227702,22220,"Tréguier","","oui"
48.4085899,-2.321593,22270,"Jugon-les-Lacs","Randonnée pédestre",""
48.6751204,-3.1908549,22260,"Plouëc-du-Trieux","Randonnée pédestre",""
48.676727,-2.885471,22580,"Plouha","Equitation","oui"
48.6446793,-2.8272573,22410,"Saint-Quay-Portrieux","",""
48.6478577,-2.8232761,22410,"Saint-Quay-Portrieux","","oui"
48.1875174,-2.5909393,22210,"Plémet","Equitation",""
48.417795,-1.9700109,22630,"Les Champs-Géraux","Attelage",""
48.4625551,-3.4184615,22160,"La Chapelle-Neuve","Randonnée pédestre",""
48.6017754,-2.8279835,22520,"Binic-Étables-sur-Mer","Badminton#Beach Volley#Catamaran#Kayak de mer#Multisport#Pêche#Plongée#Stand up paddle",""
48.6013729,-2.8222493,22520,"Binic-Étables-sur-Mer","Catamaran#Voile",""
48.670988,-3.3955409,22140,"Tonquédec","Pêche#Pêche en eau douce#Pêche en mer","oui"
48.6953575,-3.154199,22260,"Pontrieux","Multisport",""
48.7361664,-3.0042137,22470,"Plouézec et Ploubazlanec","Marche aquatique","oui"
48.6318708,-2.4135425,22240,"Plurien","Cyclotourisme#VTT","oui"
48.5980595,-2.8340618,22520,"Binic-Étables-sur-Mer","","oui"
48.779782,-3.048828,22500,"Paimpol","",""
48.6244168,-2.8359467,22680,"Binic-Étables-sur-Mer","Tennis","oui"
48.779782,-3.048828,22500,"Paimpol","Aviron#Bouée tractée#Canoë kayak#Kayak de mer#Motonautisme#Pêche#Pêche en mer","oui"
48.778926,-3.0478006,22500,"Paimpol","",""
48.778926,-3.0478006,22500,"Paimpol","",""
48.649916,-2.3485226,22240,"Fréhel","Tir à l’arc",""
48.7270276,-2.9487523,22580,"Plouha","Marche aquatique",""
48.6017203,-2.8276672,22520,"Binic-Étables-sur-Mer","Jeu de piste",""
48.6016971,-2.8277515,22520,"Binic-Étables-sur-Mer","Jeu de piste",""
48.7888476,-3.4493067,22700,"Saint-Quay-Perros","Kite-surf","oui"
48.219961,-3.3895046,22110,"Glomel","Canoë kayak#Rafting",""
48.6502027,-3.4267063,22420,"Le Vieux-Marché","Pêche#Pêche en eau douce","oui"
48.5160064,-3.5722747,22780,"Plougras","Pêche#Pêche en eau douce",""
48.5672339,-3.5602853,22780,"Plounérin","Pêche#Pêche en eau douce","oui"
48.360082,-3.350101,22160,"Saint-Nicodème","Equitation#Randonnée équestre","oui"
48.4118684,-3.5531295,22160,"Plourac'h","Equitation",""
48.385729,-2.329692,22270,"Jugon-les-Lacs","Ski nautique#Téléski nautique",""
48.2266304,-3.1781618,22570,"Gouarec","Gymnastique",""
48.3990368,-2.3149428,22270,"Jugon-les-Lacs","Pêche#Pêche en eau douce",""
48.363531,-2.40023,22640,"Plénée-Jugon","Pêche#Pêche en eau douce",""
48.697024,-3.161691,22260,"Pontrieux","","oui"
48.7278135,-2.9493304,22470,"Plouézec","Marche aquatique",""
48.6016971,-2.8277515,22520,"Binic-Étables-sur-Mer","",""
48.6016971,-2.8277515,22520,"Binic-Étables-sur-Mer","",""
48.8092226,-3.448903,22700,"Perros-Guirec","Gymnastique","oui"
48.510598,-3.561707,22780,"Plougras","Randonnée pédestre","oui"
48.1714663,-3.3126354,22110,"Mellionnec","Randonnée équestre",""
48.5888739,-2.555883,22370,"Pléneuf-Val-André","Multisport","oui"
48.8593719,-3.2295929,22820,"Plougrescant","Equitation",""
48.7895581,-3.1005729,22740,"Lézardrieux","Pêche sous-marine#Plongée","oui"
48.61852,-2.430443,22240,"Plurien","Pêche#Pêche en eau douce",""
48.4997594,-2.6131225,22400,"Coëtmieux","Pêche#Pêche en eau douce",""
48.64056,-2.247412,22380,"Saint-Cast-le-Guildo","Pêche#Pêche en mer","oui"
48.4785712,-2.8032858,22440,"Ploufragan","",""
48.6016917,-2.8303683,22520,"Binic-Étables-sur-Mer","Jeu de piste",""
48.5565306,-2.7259993,22190,"Plérin","Canoë kayak#Kayak de mer#Stand up paddle",""
48.818128,-3.34616,22660,"Trévou-Tréguignec","Cyclotourisme#Randonnée pédestre","oui"
48.6024764,-2.4686489,22430,"Erquy","Kite-surf","oui"
48.6088886,-2.4947809,22430,"Erquy","Stand up paddle#Surf","oui"
48.23004,-2.37063,22230,"Saint-Launeuc","Equitation",""
48.206418,-3.0465209,22530,"Caurel","Stand up paddle",""
48.205763,-3.048191,22530,"Caurel","Canoë kayak#Stand up paddle",""
48.2087426,-3.0149017,22530,"Guerlédan","Canoë kayak#Stand up paddle",""
48.276882,-2.708154,22150,"Plouguenast-Langast","Canoë kayak#Stand up paddle#VTT",""
48.53496,-2.76794,22190,"Plérin","",""
48.6345856,-3.2980286,22140,"Bégard","Equitation",""
48.4361032,-2.7439959,22960,"Plédran","Randonnée pédestre",""
48.544512,-3.131867,22970,"Ploumagoar","Randonnée pédestre",""
48.49558,-2.00358,22100,"Saint-Samson-sur-Rance","Canoë kayak#Cyclotourisme#Stand up paddle",""
48.7826271,-3.0393652,22500,"Paimpol","Voile#Voile habitable","oui"
48.636172,-3.349555,22140,"Pluzunet","Quad","oui"
48.4031964,-2.9101616,22800,"Quintin","Jeu de piste",""
48.5959,-3.20353,22200,"Plouisy","Equitation",""
48.5624648,-3.5577989,22780,"Plounérin","Jeu de piste","oui"
48.562466,-3.5577979,22780,"Plounérin","Jeu de piste#Randonnée pédestre","oui"
48.568228,-3.4175804,22810,"Plounévez-Moëdec","Jeu de piste#Randonnée pédestre","oui"
48.6701943,-3.3967854,22140,"Tonquédec","Jeu de piste#Randonnée pédestre","oui"
48.569901,-2.213152,22130,"Créhen","Canoë kayak#Kayak de mer#Marche aquatique#Multisport#Randonnée pédestre",""
48.288475,-2.155687,22350,"Caulnes","Randonnée pédestre",""
48.627799,-2.3652923,22240,"Fréhel","",""
48.628222,-2.364998,22240,"Fréhel","",""
48.618159,-2.302089,22550,"Matignon","",""
48.5874979,-2.237731,22380,"Saint-Cast-le-Guildo","",""
48.5347281,-2.8548038,22440,"Trémuson","Baptême de l'air#ULM",""
48.1817701,-2.624619,22210,"Plémet","Canoë kayak",""
48.80177,-3.03237,22620,"Ploubazlanec","Jeu de piste","oui"
48.824648,-3.258208,22820,"Plougrescant","Randonnée pédestre","oui"
